,date,text_length
1191,2012-07-13,199
1192,2012-07-16,235
1193,2012-07-17,197
1194,2012-07-18,210
1195,2012-07-19,197
1196,2012-07-20,238
1197,2012-07-23,218
1198,2012-07-24,172
1199,2012-07-25,169
1200,2012-07-26,139
1201,2012-07-27,210
1202,2012-07-30,323
1203,2012-07-31,190
1204,2012-08-01,237
1205,2012-08-02,204
1206,2012-08-03,190
1207,2012-08-06,254
1208,2012-08-07,210
1209,2012-08-08,230
1210,2012-08-09,277
1211,2012-08-10,242
1212,2012-08-13,318
1213,2012-08-14,311
1214,2012-08-15,185
1215,2012-08-16,271
1216,2012-08-17,316
1217,2012-08-21,282
1218,2012-08-22,352
1219,2012-08-23,279
1220,2012-08-24,147
1221,2012-08-27,156
1222,2012-08-29,211
1223,2012-08-30,255
1224,2012-08-31,344
1225,2012-09-04,181
1226,2012-09-05,296
1227,2012-09-06,222
1228,2012-09-07,311
1229,2012-09-10,229
1230,2012-09-11,285
1231,2012-09-12,290
1232,2012-09-13,227
1233,2012-09-14,271
1234,2012-09-17,171
1235,2012-09-18,161
1236,2012-09-19,194
1237,2012-09-20,214
1238,2012-09-24,203
1239,2012-09-25,173
1240,2012-09-26,136
1241,2012-09-27,271
1242,2012-09-28,323
1243,2012-10-04,173
1244,2012-10-05,191
1245,2012-10-09,329
